id,slug,name,type,status,description,short_description,price,sku,weight_grams,category_slugs,tags,image_urls,variations_json,meta_json
101,jambon-orhi-18-mois,Jambon Orhi 18 mois,variable,publish,"<p>Notre jambon phare, séché 18 mois en cave naturelle.</p>",Affinage 18 mois,,JMB-ORHI,,jambons-iparralde|jambon-orhi,sans-nitrite|race-basque,https://wp.lehena.fr/uploads/orhi-1.jpg|https://wp.lehena.fr/uploads/orhi-2.jpg,"[{\"id\":1001,\"sku\":\"JMB-ORHI-DEMI\",\"price\":\"129.00\",\"weight_grams\":2500,\"attributes\":{\"format\":\"Demi\"}},{\"id\":1002,\"sku\":\"JMB-ORHI-ENT\",\"price\":\"299.00\",\"weight_grams\":7000,\"attributes\":{\"format\":\"Entier\"}}]","{\"aging_months\":18,\"origin\":\"Vallée des Aldudes\",\"breed\":\"Kintoa\",\"nitrite_free\":true,\"_yoast_wpseo_title\":\"Jambon Orhi 18 mois — Lehena\",\"_yoast_wpseo_metadesc\":\"Notre jambon Orhi affiné 18 mois, sans nitrite, race basque.\"}"
102,chorizo-iparralde,Chorizo Iparralde,simple,publish,"<p>Chorizo doux séché 6 semaines.</p>",Sec, doux,18.90,CHZ-IPA,250,salaisons|chorizo,sans-nitrite,https://wp.lehena.fr/uploads/chorizo.jpg,"[]","{\"nitrite_free\":true,\"aging_months\":1.5}"
103,patxaran-aldudes,Patxaran des Aldudes,simple,publish,"<p>Liqueur d'épines blanches macérée 6 mois.</p>",25 cl,28.00,PTX-25CL,500,patxaran-spiritueux|patxaran,artisanal,https://wp.lehena.fr/uploads/patxaran.jpg,"[]","{\"origin\":\"Aldudes\"}"
104,planche-jambon-chene,Planche à jambon en chêne,simple,publish,"<p>Planche tournée à la main.</p>",Chêne massif,79.00,PLN-CHN,1200,accessoires|planche,fait-main,https://wp.lehena.fr/uploads/planche.jpg,"[]","{}"
105,coffret-degustation,Coffret dégustation,simple,publish,"<p>Une sélection découverte.</p>",4 produits,55.00,COF-DEG,1500,coffrets-cadeaux,cadeau|decouverte,https://wp.lehena.fr/uploads/coffret.jpg,"[]","{}"
106,piment-espelette-pot,Piment d'Espelette en pot,simple,publish,"<p>Récolte 2025.</p>",40 g — AOP,9.50,PMT-40,100,epicerie-basque,aop,https://wp.lehena.fr/uploads/piment.jpg,"[]","{\"origin\":\"Espelette\"}"
107,saucisson-vieux-millepertuis,Saucisson au millepertuis,simple,publish,"<p>Saucisson sec parfumé au millepertuis sauvage.</p>",Sec,16.00,SAU-MIL,200,salaisons|saucisson,artisanal,https://wp.lehena.fr/uploads/saucisson-milleperthuis.jpg,"[]","{}"
108,fromage-ossau-iraty,Ossau-Iraty fermier,simple,draft,"<p>Brebis fermier de la vallée d'Iraty.</p>",Brebis,32.00,FRM-OSS,500,epicerie-basque|fromage,fermier|aop,https://wp.lehena.fr/uploads/ossau.jpg,"[]","{}"
109,couteau-charcutier,Couteau de charcutier,simple,publish,"<p>Lame inox 24 cm.</p>",Inox,89.00,COU-24,300,accessoires|couteau,outil,https://wp.lehena.fr/uploads/couteau.jpg,"[]","{}"
110,confit-piment-espelette,Confit de piment d'Espelette,simple,publish,"<p>Confit doux pour accompagner jambons et fromages.</p>",110 g,12.50,CNF-PMT,200,epicerie-basque,aop,https://wp.lehena.fr/uploads/confit.jpg,"[]","{}"
